4804471
70 36 0 0 4804472
10 31 1 0 4804472
69 40 0 0 4804473
11 31 1 0 4804474
74 56 1 0 4804476
72 59 1 0 4804478
5 49 1 0 4804479
18 49 1 0 4804480
67 48 1 0 4804482
20 51 1 0 4804483
1 51 1 0 4804485
71 54 1 0 4804486
72 52 1 0 4804488
11 44 1 0 4804489
65 39 1 0 4804490
53 110 1 0 4804587
74 38 0 0 4804588
71 30 0 0 4804592
75 34 0 0 4804594
73 76 0 0 4804596
22 4 0 0 4804597
1 31 0 0 4804598
53 114 0 0 4804600
38 118 0 0 4804601
71 53 0 0 4804602
49 108 0 0 4804604
22 5 0 0 4804605
67 56 0 0 4804607
70 52 0 0 4804608
75 53 0 0 4804609
34 121 0 0 4804610
10 41 1 0 4804611
30 124 0 0 4804612
72 44 0 0 4804614
74 40 0 0 4804615
67 41 0 0 4804615
15 45 1 0 4804616
25 43 0 0 4804617
64 106 1 0 4804618
68 39 0 0 4804618
71 43 1 0 4804619
67 38 0 0 4804620
72 40 1 0 4804621
68 37 0 0 4804621
50 109 1 0 4804622
75 37 0 0 4804623
1 32 1 0 4804624
4 35 0 0 4804624
67 39 1 0 4804625
3 34 0 0 4804626
67 43 1 0 4804627
68 59 0 0 4804627
30 42 1 0 4804628
25 56 0 0 4804628
24 45 1 0 4804630
71 48 0 0 4804630
10 46 1 0 4804631
1 53 1 0 4804631
70 51 0 0 4804632
68 53 0 0 4804633
9 52 1 0 4804634
71 54 0 0 4804634
69 54 1 0 4804635
73 55 0 0 4804636
73 54 1 0 4804637
49 115 0 0 4804637
23 55 1 0 4804638
61 117 0 0 4804639
4 55 1 0 4804640
63 119 0 0 4804640
11 51 1 0 4804641
3 51 1 0 4804642
73 102 0 0 4804643
67 103 0 0 4804643
66 51 1 0 4804644
64 106 0 0 4804645
73 51 1 0 4804646
26 51 1 0 4804646
65 104 0 0 4804647
16 50 1 0 4804648
57 110 0 0 4804649
30 50 1 0 4804649
61 111 0 0 4804650
7 50 1 0 4804651
48 111 0 0 4804651
6 50 1 0 4804652
53 109 0 0 4804653
21 48 1 0 4804654
4 48 1 0 4804654
65 108 0 0 4804655
74 74 0 0 4804656
71 48 1 0 4804657
66 49 1 0 4804657
70 72 0 0 4804659
27 49 1 0 4804659
70 71 0 0 4804660
30 49 1 0 4804661
71 69 0 0 4804662
73 64 0 0 4804662
73 49 1 0 4804663
14 49 1 0 4804663
10 29 0 0 4804664
19 49 1 0 4804665
9 29 0 0 4804666
10 57 1 0 4804666
13 29 0 0 4804667
2 29 0 0 4804667
24 56 1 0 4804668
79 29 0 0 4804669
27 56 1 0 4804670
80 31 0 0 4804670
18 56 1 0 4804672
8 58 1 0 4804672
75 31 0 0 4804673
9 58 1 0 4804673
12 30 0 0 4804674
13 58 1 0 4804674
3 30 0 0 4804675
18 58 1 0 4804676
2 30 0 0 4804677
21 58 1 0 4804677
78 30 0 0 4804678
24 58 1 0 4804679
68 30 0 0 4804680
17 59 1 0 4804680
8 24 0 0 4804681
15 59 1 0 4804681
11 24 0 0 4804682
72 62 1 0 4804683
5 27 0 0 4804684
10 60 1 0 4804684
9 27 0 0 4804685
9 60 1 0 4804686
7 26 0 0 4804686
18 60 1 0 4804687
5 26 0 0 4804688
13 26 0 0 4804688
73 60 1 0 4804689
13 21 0 0 4804690
8 61 1 0 4804691
22 23 0 0 4804691
59 105 1 0 4804692
4 16 0 0 4804692
63 105 1 0 4804693
64 3 0 0 4804694
